match_id,1_result,1.0TOP_championId,1.0TOP_xp_per_min,1.0TOP_creeps_per_min,1.0TOP_gold_per_min,1.0TOP_damage_taken_per_min,1.0TOP_first_blood,1.0TOP_first_blood_assist,1.0TOP_first_tower,1.0TOP_first_tower_assist,1.0MIDDLE_championId,1.0MIDDLE_xp_per_min,1.0MIDDLE_creeps_per_min,1.0MIDDLE_gold_per_min,1.0MIDDLE_damage_taken_per_min,1.0MIDDLE_first_blood,1.0MIDDLE_first_blood_assist,1.0MIDDLE_first_tower,1.0MIDDLE_first_tower_assist,1.0JUNGLE_championId,1.0JUNGLE_xp_per_min,1.0JUNGLE_creeps_per_min,1.0JUNGLE_gold_per_min,1.0JUNGLE_damage_taken_per_min,1.0JUNGLE_first_blood,1.0JUNGLE_first_blood_assist,1.0JUNGLE_first_tower,1.0JUNGLE_first_tower_assist,1.0ADC_championId,1.0ADC_xp_per_min,1.0ADC_creeps_per_min,1.0ADC_gold_per_min,1.0ADC_damage_taken_per_min,1.0ADC_first_blood,1.0ADC_first_blood_assist,1.0ADC_first_tower,1.0ADC_first_tower_assist,1.0SUPPORT_championId,1.0SUPPORT_xp_per_min,1.0SUPPORT_creeps_per_min,1.0SUPPORT_gold_per_min,1.0SUPPORT_damage_taken_per_min,1.0SUPPORT_first_blood,1.0SUPPORT_first_blood_assist,1.0SUPPORT_first_tower,1.0SUPPORT_first_tower_assist,2.0ADC_championId,2.0ADC_xp_per_min,2.0ADC_creeps_per_min,2.0ADC_gold_per_min,2.0ADC_damage_taken_per_min,2.0ADC_first_blood,2.0ADC_first_blood_assist,2.0ADC_first_tower,2.0ADC_first_tower_assist,2.0JUNGLE_championId,2.0JUNGLE_xp_per_min,2.0JUNGLE_creeps_per_min,2.0JUNGLE_gold_per_min,2.0JUNGLE_damage_taken_per_min,2.0JUNGLE_first_blood,2.0JUNGLE_first_blood_assist,2.0JUNGLE_first_tower,2.0JUNGLE_first_tower_assist,2.0MIDDLE_championId,2.0MIDDLE_xp_per_min,2.0MIDDLE_creeps_per_min,2.0MIDDLE_gold_per_min,2.0MIDDLE_damage_taken_per_min,2.0MIDDLE_first_blood,2.0MIDDLE_first_blood_assist,2.0MIDDLE_first_tower,2.0MIDDLE_first_tower_assist,2.0TOP_championId,2.0TOP_xp_per_min,2.0TOP_creeps_per_min,2.0TOP_gold_per_min,2.0TOP_damage_taken_per_min,2.0TOP_first_blood,2.0TOP_first_blood_assist,2.0TOP_first_tower,2.0TOP_first_tower_assist,2.0SUPPORT_championId,2.0SUPPORT_xp_per_min,2.0SUPPORT_creeps_per_min,2.0SUPPORT_gold_per_min,2.0SUPPORT_damage_taken_per_min,2.0SUPPORT_first_blood,2.0SUPPORT_first_blood_assist,2.0SUPPORT_first_tower,2.0SUPPORT_first_tower_assist
2556395363,Fail,58,452.9,6.8,278.8,539.4,False,False,True,False,518,487.2,7.3,323.8,440.8,True,False,False,False,35,251.9,0.8,230.6,451.5,False,False,False,False,412,250.8,0.8,154.5,211.4,False,False,False,False,51,314.2,8.5,296.4,161,False,False,False,False,50,261.7,0.3,142.7,195.9,False,False,False,False,106,353.4,0.4,301.2,709.4,False,False,False,False,22,317.4,7,301.8,174.2,False,False,False,False,84,466.3,5.5,243.2,344.9,False,False,False,False,245,443.5,6.5,277.7,417.5,False,False,False,False
2626518916,Fail,20,317.7,0.1,289.5,1095.5,False,False,False,False,517,411.5,5.6,307.3,646.6,False,False,False,False,157,453.7,7.8,329.7,388.3,False,False,False,False,21,353.2,7.1,318,248.3,False,False,False,False,267,295.7,0.3,224.4,189,False,False,False,False,9,302.4,0,278.5,957.5,False,False,True,False,238,490.2,6.5,305.7,338.9,False,False,False,False,48,514.5,6.8,408.3,604.3,True,False,False,False,497,270.5,1.1,152,218.8,False,False,False,False,81,291.6,7,250.7,230.9,False,False,False,True
2207481734,Win,24,382.7,5.5,205.7,421.2,False,False,False,False,37,356.2,0.3,269.9,363.1,False,False,True,False,110,358.6,8.6,380.1,543.1,False,False,False,True,7,467.8,7.9,256,272.5,False,False,False,False,32,287.5,0.4,231.2,594.4,False,False,False,False,45,472.7,8.6,273.7,183.4,False,False,False,False,19,327.6,0,286.8,655.9,False,False,False,False,21,302.6,5.1,280.3,561.7,True,False,False,False,82,476.6,7.2,314.6,264.7,False,False,False,False,43,270.5,0.6,159.9,293.9,False,False,False,False
2651225993,Fail,32,400.1,0.8,321.1,648.4,False,False,False,False,266,442.6,4.7,333.8,671.8,True,False,False,False,110,300.3,6.4,218.9,234.2,False,False,False,False,99,250,0.5,152.5,195.5,False,False,False,False,61,482.8,6.2,277.6,231,False,False,False,False,245,287.2,0.4,258.3,688.3,False,False,False,False,90,469,7.7,269.3,289.4,False,False,False,False,106,440.4,6.5,297.7,543.5,False,False,False,False,134,306,0.5,205,239.2,False,False,False,False,429,318.8,6.8,276.7,177.8,False,False,False,False
2254536587,Win,81,293,6.3,307,320.4,False,False,False,False,29,274.9,0.2,208.8,562,False,False,False,False,12,288.1,1.5,189.5,306.1,False,False,False,False,114,394.9,4.9,306.8,718.4,True,False,False,False,84,544.2,8.5,329.8,361.2,False,False,False,False,157,430.3,7.1,249.2,450,False,False,False,False,145,281.5,6.5,266.3,278.8,False,False,False,False,25,247.8,0.3,149.2,286.5,False,False,False,False,11,368.5,0.6,326.3,602,False,False,False,False,122,500.9,6.7,394.2,598.9,False,False,True,False
2549579660,Win,412,248.1,1.2,215.2,306.8,False,False,False,False,51,325,7.1,362.6,514.6,True,False,False,False,1,413.6,6.3,278.9,443.7,False,False,False,False,35,290.2,0.4,227.4,391.7,False,False,False,False,420,529.7,6.1,392.3,850,False,False,True,False,16,349.4,3.8,230.2,382.2,False,False,False,False,555,287.5,1.5,236.8,463.5,False,False,False,False,21,270.7,3.4,218,358.9,False,False,False,False,11,383.9,1.1,345.2,857.1,False,False,False,False,54,414.6,4.5,323.8,671.9,False,False,False,False
2196897678,Fail,53,269.8,1.3,199.9,350.2,False,False,False,False,254,313.8,0.4,256.1,417.6,False,False,False,False,67,326.5,7.2,288.4,270.1,False,False,False,False,133,499,7.1,288.5,245.4,False,False,False,False,517,386.6,6.5,291.9,467.6,True,False,False,False,6,425.7,6,230.3,395.6,False,False,False,False,107,481.7,1.4,401.8,688.9,False,False,False,False,518,449.4,5.8,276.5,379.3,False,False,True,False,51,332,8.8,272,244.1,False,False,False,False,25,282.9,0.3,182.1,208.4,False,False,False,False
2428108702,Fail,81,286.1,5,205.1,302.3,False,False,False,False,235,222.9,0.5,143.3,208.9,False,False,False,False,55,376.3,6,258.7,261,False,False,False,False,64,305.8,0.1,262.1,447.5,False,False,False,False,27,396.5,5.1,217.1,514.4,False,False,False,False,875,391.8,5.3,278.3,439.8,True,False,False,False,134,384.8,5.9,240.3,160.3,False,False,False,False,11,313.8,0,279,670.4,False,False,False,False,12,247.9,1.2,161.3,222.4,False,False,False,True,51,334.4,8.5,306,217.8,False,False,True,False
2672492450,Win,222,277.2,6.9,252.5,225.3,False,False,False,False,63,295.3,1.1,234.8,312.9,False,False,False,False,120,316.3,0.6,246.6,693.1,False,False,False,False,105,329,3.2,204.7,485.8,False,False,False,False,17,463.2,7.1,305.9,290,False,False,False,False,85,477.1,4.9,229.4,322.8,False,False,False,False,67,531.8,7.1,413.4,435.1,True,False,True,False,145,344,7.6,286.2,300,False,False,False,False,25,246.7,0.1,196.2,247.6,False,False,False,False,427,311.7,0.1,259.7,67.3,False,False,False,False
2349531048,Win,51,290.8,7.4,260.8,117,False,False,True,False,143,307.2,0.3,186.9,108.6,False,False,False,False,254,309.3,0,246.4,545,False,False,False,True,17,396.4,5.3,226.2,209.3,False,False,False,False,157,422.4,7.1,243.6,329.7,False,False,False,False,7,448.9,7.1,238.5,245,False,False,False,False,45,458.1,6.5,273.6,144.4,False,False,False,False,67,266,5.3,218.1,232.1,False,False,False,False,117,260,0.1,137.6,141.8,False,False,False,False,24,256.7,0.1,268.7,494.9,True,False,False,False
2678194090,Win,157,414.9,5.9,260.5,622.8,False,False,False,False,54,448.2,5.2,286.4,325.7,False,False,False,False,245,322,0.6,317,844.4,False,False,False,False,119,319.9,7,287.7,481.8,True,False,False,False,22,262.4,0.2,186.7,356.2,False,False,False,False,126,330.3,6.1,328.3,297.1,False,False,False,False,25,291.9,0.8,266.9,304.1,False,False,False,False,420,508.4,5.9,385.1,699.3,False,False,False,False,121,417.1,0.7,320.4,876.7,False,False,False,False,106,418.2,5.3,246.3,601.7,False,False,False,False
2476048300,Win,106,533.6,5.3,312.8,553.8,False,False,False,False,53,255.5,1.3,163.1,165.5,False,False,False,False,222,281.6,6.9,238.5,272.5,False,False,False,False,11,213.3,1.4,195.4,638.8,False,False,False,False,63,399.8,5.1,296.8,383.8,True,False,False,False,54,436.8,6.1,332.6,354.1,False,False,False,False,5,493.6,0.4,455.4,746.8,False,False,False,False,150,438.7,6.8,264.1,505.2,False,False,False,False,96,276.4,5.7,279,106.8,False,False,False,True,89,281.2,1.4,195.9,55.2,False,False,True,False
2495872949,Win,22,291.6,6.4,299.2,270,False,False,True,False,31,323.5,4.6,274.5,408.4,False,False,False,False,235,251.6,0.8,209,283.3,False,False,False,True,99,415.9,5.1,237.6,407.9,False,False,False,False,33,396.2,0.8,346.4,596.1,False,False,False,True,523,316.9,5,288.1,403.1,False,False,False,False,58,401.4,6,313.5,514.4,False,False,False,False,62,332.8,0,292,605.7,False,False,False,False,16,238,0.3,151.4,186.4,False,False,False,False,1,454.1,7.1,327.9,344.7,True,False,False,False
2664890294,Fail,141,340.4,0,297.7,909.5,False,False,False,False,235,238.6,1,210.7,489.1,False,False,False,False,81,300,5.7,310.9,363.7,False,False,False,False,3,403.2,5.2,225.8,388.6,False,False,False,False,31,464.3,6.2,292.4,543.5,False,False,True,False,99,462.9,6.5,258.3,153.4,False,False,False,False,120,392.7,1,312.4,953.8,False,False,False,False,147,313.4,1.1,360.7,240.7,False,False,False,False,202,355.8,5.8,440.1,265.1,True,False,False,False,19,433.2,5,248.5,426.3,False,False,False,False
2537193403,Fail,121,251.7,0.3,246.5,757.9,False,False,False,False,81,281.7,7.2,368.9,366.3,False,False,False,False,82,317.4,3.1,180.7,607.3,False,False,False,False,115,494.4,8.1,374.7,298.9,False,False,True,False,89,251.7,1.2,187.9,302.2,False,False,False,False,1,374.2,4,184.2,468.4,False,False,False,False,235,333.8,6.1,265.8,288.5,False,False,False,False,555,292.6,1.6,323.7,365.3,False,False,False,False,24,477.4,5.9,360.4,483.6,True,False,False,False,2,346.1,0,273.2,752.5,False,False,False,False
2562588603,Win,98,450.9,6.3,246.8,376.3,False,False,False,False,50,423.4,5.1,251.4,410,False,False,False,False,120,388.1,1,397.6,738.5,True,False,True,False,99,282.9,0.5,282.5,246.3,False,False,False,False,67,265.3,5.2,302.1,178.5,False,False,False,False,517,492.3,5.4,237,361,False,False,False,False,127,385.4,6.1,274.1,530,False,False,False,False,51,227.2,5.5,248.5,377.9,False,False,False,False,20,305.4,0.1,270.3,880.8,False,False,False,False,117,254.6,1.8,159.3,162.8,False,False,False,False
