% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=812564, Tue Dec 22 23:27:14 2020, <python>{}</python>
1 15 0.9577745331757636 1.0000490012005196 394.69486481285236 3.9469486481285236e+02 472.65370406364815 523.3392468416091   
2 30 0.9293407933418306 1.0564428129395018 346.7591570687735 3.4675915706877350e+02 448.5369807530458 537.1576036627343   
3 45 0.9182477628163026 1.063790209534786 337.58955990409635 3.3758955990409635e+02 402.3023677483257 449.86005615240435   
4 60 0.9151361740162992 1.076310065692361 337.58955990409635 3.4367774466385004e+02 414.9107702371083 500.804062638213   
5 75 0.9164999904211204 1.086438254997573 337.58955990409635 3.6630777483617015e+02 406.570338951087 469.92515451459786   
6 90 0.9351028268173948 1.1008799324134375 280.7429300864961 2.8074293008649607e+02 378.57461264416327 489.3042419361722   
7 105 0.9509125742349767 1.1221222241611641 266.04407792123845 2.6604407792123845e+02 357.83036929855535 429.31621348350694   
8 120 0.957103365380218 1.1387142758978095 198.79572811842033 1.9879572811842033e+02 381.10360759697494 449.14802952269156   
9 135 0.9671093072823737 1.1544217723700954 198.79572811842033 2.6045675533195811e+02 301.523597881485 421.8606930281186   
10 150 0.9890239963857178 1.174294059325825 198.79572811842033 2.5044634426530928e+02 313.7180917035941 404.79198403884413   
11 165 1.0236721095699337 1.1982078203419138 141.90143986273821 1.4190143986273821e+02 233.3801505480187 331.5714046349668   
12 180 1.0591835207778972 1.227509113152792 96.28579004268218 9.6285790042682180e+01 222.46117396957658 350.1221464558993   
13 195 1.0891783397913817 1.2521496946428758 65.02383209274393 6.5023832092743930e+01 186.21125453300985 285.3446078278731   
14 210 1.129338006426587 1.2738720053341233 27.793549421292553 2.7793549421292553e+01 201.0523518016191 318.4459725851596   
15 225 1.1938737786400904 1.3024423572726145 -108.6459154726092 -1.0864591547260920e+02 97.64792141240858 315.17459648084537   
16 240 1.2546494216139645 1.325492389876443 -108.6459154726092 -1.0520258797690857e+02 -8.323947530499844 125.28920817104117   
17 255 1.3280701790973837 1.3480544067573883 -288.17954433172656 -2.8817954433172656e+02 -46.88986634031731 46.22501281023136   
18 270 1.4143907315083075 1.3667746056245653 -345.9314124474285 -3.4593141244742850e+02 -209.98588699720221 14.878327864500136   
19 285 1.5025731859157478 1.3836923959927725 -498.2605678276961 -4.9826056782769609e+02 -304.23893758499656 -19.637669996202376   
20 300 1.6163289256832383 1.4001329041454744 -715.7602159604284 -7.1576021596042835e+02 -498.1195251573013 -195.09218221220817   
21 315 1.7510840198658253 1.4173761634397368 -983.4232935437394 -9.8342329354373942e+02 -692.3741509975135 -405.70300379256685   
22 330 1.8943355699925808 1.4305642762452266 -1169.873161031177 -1.1698731610311770e+03 -893.8159010084996 -524.2464543677403   
23 345 2.0618118244891575 1.4422216371378747 -1702.495194380037 -1.7024951943800370e+03 -1126.4120341287637 -915.4474375483297   
24 360 2.2698253478756003 1.4550379805679394 -2103.2438164615824 -2.1032438164615824e+03 -1554.1070203076108 -1209.6888404116646   
25 375 2.5028224458611654 1.467151469568347 -2517.7517687441054 -2.5177517687441054e+03 -2105.7407477853903 -1886.7035479701553   
26 390 2.7531271460994726 1.4734942616967512 -3030.2874731753527 -3.0302874731753527e+03 -2740.1754187954825 -1724.6439552742606   
27 405 3.051421925193228 1.4792953135396982 -4122.652811241761 -4.1226528112417609e+03 -2865.943685120562 -2247.1286134094494   
28 420 3.330433352585682 1.490090865666297 -4403.870334997892 -4.4038703349978923e+03 -3968.790836001217 -3080.9495672032467   
29 435 3.63880962974542 1.4953496373992399 -5621.957510637238 -5.6219575106372376e+03 -4548.246856314492 -3502.482038271605   
30 450 3.9691101255768526 1.5015360506423612 -6745.856047040145 -6.7458560470401453e+03 -5125.242787874114 -3460.6323109922814   
31 465 4.3350937229320765 1.504080657456915 -8291.355695211987 -8.2913556952119870e+03 -6533.1831670629035 -5267.095603113554   
32 480 4.754376654601196 1.5114527359109802 -11113.022345221452 -1.1113022345221452e+04 -7962.25001628328 -5623.824990995057   
33 495 5.242421159277957 1.5177701722220063 -13159.592523651057 -1.3159592523651057e+04 -10690.777760151554 -8241.948154775762   
34 510 5.769040054466136 1.5200553548725204 -15804.659272664698 -1.5804659272664698e+04 -12253.837665940608 -9566.665497087206   
35 525 6.383695587766741 1.5224741024648356 -19841.90646468579 -1.9841906464685791e+04 -16672.445351738246 -12875.02726389454   
36 540 7.045876311986707 1.5258698945878832 -23164.935124542488 -2.3164935124542488e+04 -19673.883418994854 -15209.725597813405   
37 555 7.820796645424095 1.5321132840026792 -29555.241559788505 -2.9555241559788505e+04 -23597.559772017103 -17576.185359247385   
38 570 8.671482710917847 1.5370296375344445 -34472.20575426847 -3.4472205754268471e+04 -27581.31509914073 -20676.91428590091   
39 585 9.578069362917292 1.536746383918516 -42646.62327427504 -4.2646623274275044e+04 -32478.867237442115 -26861.83251873475   
40 600 10.58473395630461 1.5382804938220709 -53021.013031619696 -5.3021013031619696e+04 -37904.91765876164 -35449.65917739707   
41 615 11.694182727470332 1.5413170951958057 -58709.89763052281 -5.8709897630522813e+04 -45942.2680581464 -37837.356691265675   
42 630 12.779189652446952 1.5380459884917534 -60072.46872753758 -6.0072468727537584e+04 -52966.66539804212 -41033.143780422615   
43 645 13.95531762676158 1.53771105833974 -74262.5938860462 -7.4262593886046205e+04 -60987.1544104019 -53550.17209153592   
44 660 15.223832268959535 1.5422184765816456 -100156.56427561655 -1.0015656427561655e+05 -67691.70494688324 -54750.33025403978   
